transaction_id,transaction_date,customer_id,product_name,quantity,price,payment_method,transaction_status,is_refund,price_category,total_amount,value_tier,transaction_day_of_week,discount_percentage,margin,price_category_loc,price_category_where,price_category_select,Branch,City,Country,Manager,lat,lon,transaction_month,order_period_num,cohort_month,cohort_index
T0001,2024-08-02,C2205,Headphones,1.0,420.21,Paypal,Not specified,0,Standard,420.21,Low,Friday,0.0,168.084,,Standard,Standard,Branch E,Vienna,Austria,Stefan,48.2082,16.3738,2024-08,24296.0,2021-07,37.0
T0002,2020-02-10,C3156,Coffee Machine,469.0,445.3420252539559,Creditcard,Pending,0,Standard,208865.40984410534,High,Monday,0.2,66836.93115011371,,Standard,Standard,Branch B,Berlin,Germany,John,52.52,13.405,2020-02,24242.0,2020-02,0.0
T0004,2020-08-17,C3009,Tablet,1.0,868.6083413217348,Paypal,Pending,0,High,868.6083413217348,Medium,Monday,0.05,330.0711697022592,High,High,High,Branch C,Paris,France,Michael,48.8566,2.3522,2020-08,24248.0,2020-05,3.0
T0006,2021-10-26,C4241,Smartphone,598.0,525.395978574806,Paypal,Completed,0,High,314186.795187734,High,Tuesday,0.0,125674.71807509361,High,High,High,Branch A,Warsaw,Poland,Anna,52.2297,21.0122,2021-10,24262.0,2020-08,14.0
T0013,2020-03-18,C1692,Smartphone,564.0,525.395978574806,Cash,Completed,0,High,296323.33191619057,High,Wednesday,0.1,106676.39948982862,High,High,High,Branch A,Warsaw,Poland,Anna,52.2297,21.0122,2020-03,24243.0,2020-03,0.0
T0014,2020-06-19,C2992,Coffee Machine,696.0,905.5147299335418,Creditcard,Failed,0,High,630238.2520337452,High,Friday,0.0,252095.3008134981,High,High,High,Branch B,Berlin,Germany,John,52.52,13.405,2020-06,24246.0,2020-01,5.0
T0017,2020-07-07,C3776,Smartphone,236.0,94.55726526729006,Creditcard,Pending,0,Standard,22315.514603080454,High,Tuesday,0.0,8926.205841232182,,Standard,Standard,Branch A,Warsaw,Poland,Anna,52.2297,21.0122,2020-07,24247.0,2020-07,0.0
T0024,2023-11-03,C828,Coffee Machine,487.0,523.122128544213,Cash,Not specified,0,High,254760.4766010317,High,Friday,0.0,101904.19064041268,High,High,High,Branch B,Berlin,Germany,John,52.52,13.405,2023-11,24287.0,2020-06,41.0
T0025,2022-11-18,C4985,Tablet,114.0,276.93632041675164,Paypal,Not specified,0,Standard,31570.740527509686,High,Friday,0.0,12628.296211003875,,Standard,Standard,Branch C,Paris,France,Michael,48.8566,2.3522,2022-11,24275.0,2021-11,12.0
T0026,2020-01-01,C1096,Coffee Machine,654.0,560.2474385952065,Paypal,Completed,0,High,366401.82484126504,High,Wednesday,0.1,131904.65694285542,High,High,High,Branch B,Berlin,Germany,John,52.52,13.405,2020-01,24241.0,2020-01,0.0
T0030,2021-10-16,C3058,Headphones,5.0,525.2337257881367,Paypal,Failed,0,High,2626.1686289406834,Medium,Saturday,0.0,1050.4674515762733,High,High,High,Branch E,Vienna,Austria,Stefan,48.2082,16.3738,2021-10,24262.0,2021-06,4.0
T0031,2024-07-17,C3672,Tablet,1.0,787.9940762988269,Creditcard,Completed,0,High,787.9940762988269,Medium,Wednesday,0.05,299.43774899355424,High,High,High,Branch C,Paris,France,Michael,48.8566,2.3522,2024-07,24295.0,2022-01,30.0
T0035,2022-07-25,C2579,Coffee Machine,485.0,970.28,Creditcard,Completed,0,High,470585.8,High,Monday,0.15,159999.17200000002,High,High,High,Branch B,Berlin,Germany,John,52.52,13.405,2022-07,24271.0,2020-01,30.0
T0038,2020-06-18,C2208,Laptop,8.0,526.0083393969253,Creditcard,Failed,0,High,4208.066715175402,Medium,Thursday,0.0,1683.2266860701611,High,High,High,Branch D,Prague,Czechia,Elena,50.0755,14.4378,2020-06,24246.0,2020-06,0.0
T0041,2023-10-20,C1693,Laptop,865.0,526.0083393969253,Creditcard,Completed,0,High,454997.21357834036,High,Friday,0.0,181998.88543133615,High,High,High,Branch D,Prague,Czechia,Elena,50.0755,14.4378,2023-10,24286.0,2020-02,44.0
T0042,2021-08-04,C4796,Coffee Machine,8.0,523.122128544213,Creditcard,Failed,0,High,4184.977028353704,Medium,Wednesday,0.0,1673.9908113414815,High,High,High,Branch B,Berlin,Germany,John,52.52,13.405,2021-08,24260.0,2021-02,6.0
T0049,2020-06-18,C4480,Laptop,762.0,526.0083393969253,Creditcard,Completed,0,High,400818.35462045704,High,Thursday,0.05,152310.97475577367,High,High,High,Branch D,Prague,Czechia,Elena,50.0755,14.4378,2020-06,24246.0,2020-06,0.0
T0052,2022-12-20,C4029,Headphones,839.0,756.3340765354607,Paypal,Pending,0,High,634564.2902132515,High,Tuesday,0.0,253825.7160853006,High,High,High,Branch E,Vienna,Austria,Stefan,48.2082,16.3738,2022-12,24276.0,2022-06,6.0
T0053,2022-07-22,C1077,Laptop,559.0,154.18505403344284,Creditcard,Failed,0,Standard,86189.44520469455,High,Friday,0.2,27580.622465502256,,Standard,Standard,Branch D,Prague,Czechia,Elena,50.0755,14.4378,2022-07,24271.0,2021-03,16.0
T0055,2024-04-17,C2474,Coffee Machine,867.0,130.23186429200612,Creditcard,Pending,0,Standard,112911.0263411693,High,Wednesday,0.15,38389.748955997566,,Standard,Standard,Branch B,Berlin,Germany,John,52.52,13.405,2024-04,24292.0,2020-04,48.0
T0069,2021-03-03,C1757,Headphones,1.0,750.9838518199657,Creditcard,Completed,0,High,750.9838518199657,Low,Wednesday,0.05,285.37386369158696,High,High,High,Branch E,Vienna,Austria,Stefan,48.2082,16.3738,2021-03,24255.0,2020-04,11.0
T0071,2022-11-15,C1381,Laptop,9.0,526.0083393969253,Cash,Not specified,0,High,4734.075054572328,Medium,Tuesday,0.1,1704.2670196460383,High,High,High,Branch D,Prague,Czechia,Elena,50.0755,14.4378,2022-11,24275.0,2020-07,28.0
T0073,2021-04-10,C1319,Headphones,9.0,501.2638068695259,Cash,Pending,0,High,4511.374261825733,Medium,Saturday,0.2,1443.6397637842347,High,High,High,Branch E,Vienna,Austria,Stefan,48.2082,16.3738,2021-04,24256.0,2020-02,14.0
T0074,2025-01-16,C4509,Laptop,7.0,526.0083393969253,Paypal,Pending,0,High,3682.058375778477,Medium,Thursday,0.1,1325.541015280252,High,High,High,Branch D,Prague,Czechia,Elena,50.0755,14.4378,2025-01,24301.0,2020-05,56.0
T0081,2023-02-28,C3687,Smartphone,8.0,845.0306396233873,Paypal,Completed,0,High,6760.245116987098,Medium,Tuesday,0.0,2704.0980467948393,High,High,High,Branch A,Warsaw,Poland,Anna,52.2297,21.0122,2023-02,24278.0,2020-01,37.0
T0093,2024-12-31,C3843,Tablet,973.0,784.0773703024178,Creditcard,Not specified,0,High,762907.2813042525,High,Tuesday,0.05,289904.7668956159,High,High,High,Branch C,Paris,France,Michael,48.8566,2.3522,2024-12,24300.0,2021-06,42.0
T0103,2022-12-04,C327,Tablet,1.0,963.4581062931452,Paypal,Completed,0,High,963.4581062931452,Medium,Sunday,0.0,385.3832425172581,High,High,High,Branch C,Paris,France,Michael,48.8566,2.3522,2022-12,24276.0,2020-10,26.0
T0107,2022-08-24,C4233,Laptop,1.0,526.0083393969253,Creditcard,Completed,0,High,526.0083393969253,Low,Wednesday,0.0,210.40333575877014,High,High,High,Branch D,Prague,Czechia,Elena,50.0755,14.4378,2022-08,24272.0,2022-07,1.0
T0108,2020-12-24,C4889,Smartphone,399.0,560.8468967379122,Creditcard,Completed,0,High,223777.91179842697,High,Thursday,0.05,85035.60648340225,High,High,High,Branch A,Warsaw,Poland,Anna,52.2297,21.0122,2020-12,24252.0,2020-12,0.0
T0112,2024-09-06,C4249,Laptop,723.0,90.34728588175324,Creditcard,Failed,0,Standard,65321.08769250759,High,Friday,0.0,26128.43507700304,,Standard,Standard,Branch D,Prague,Czechia,Elena,50.0755,14.4378,2024-09,24297.0,2020-07,50.0
T0113,2020-04-08,C2894,Headphones,1.0,86.41580941098921,Paypal,Completed,0,Standard,86.41580941098921,Low,Wednesday,0.0,34.56632376439568,,Standard,Standard,Branch E,Vienna,Austria,Stefan,48.2082,16.3738,2020-04,24244.0,2020-04,0.0
T0117,2021-03-29,C4411,Tablet,300.0,526.4327594609574,Paypal,Completed,0,High,157929.82783828722,High,Monday,0.0,63171.931135314895,High,High,High,Branch C,Paris,France,Michael,48.8566,2.3522,2021-03,24255.0,2021-03,0.0
T0122,2021-08-22,C4055,Headphones,603.0,525.2337257881367,Paypal,Pending,0,High,316715.9366502464,High,Sunday,0.05,120352.05592709364,High,High,High,Branch E,Vienna,Austria,Stefan,48.2082,16.3738,2021-08,24260.0,2020-07,13.0
T0129,2021-11-14,C1399,Laptop,996.0,464.8221782095716,Paypal,Completed,0,Standard,462962.8894967333,High,Sunday,0.1,166666.64021882403,,Standard,Standard,Branch D,Prague,Czechia,Elena,50.0755,14.4378,2021-11,24263.0,2020-02,21.0
T0132,2020-08-20,C1736,Laptop,1.0,63.46828347895041,Paypal,Completed,0,Standard,63.46828347895041,Low,Thursday,0.0,25.387313391580165,,Standard,Standard,Branch D,Prague,Czechia,Elena,50.0755,14.4378,2020-08,24248.0,2020-08,0.0
T0133,2021-07-12,C2977,Laptop,137.0,97.98868055300454,Creditcard,Failed,0,Standard,13424.449235761622,Medium,Monday,0.0,5369.779694304649,,Standard,Standard,Branch D,Prague,Czechia,Elena,50.0755,14.4378,2021-07,24259.0,2020-06,13.0
T0136,2024-05-04,C544,Tablet,788.0,526.4327594609574,Paypal,Completed,0,High,414829.01445523446,High,Saturday,0.15,141041.86491477973,High,High,High,Branch C,Paris,France,Michael,48.8566,2.3522,2024-05,24293.0,2022-09,20.0
T0137,2022-08-04,C4112,Headphones,322.0,557.4354116843066,Paypal,Completed,0,High,179494.20256234673,High,Thursday,0.0,71797.68102493869,High,High,High,Branch E,Vienna,Austria,Stefan,48.2082,16.3738,2022-08,24272.0,2021-01,19.0
T0143,2022-06-28,C3555,Smartphone,3.0,625.381192727248,Creditcard,Completed,0,High,1876.143578181744,Medium,Tuesday,0.0,750.4574312726977,High,High,High,Branch A,Warsaw,Poland,Anna,52.2297,21.0122,2022-06,24270.0,2020-04,26.0
T0144,2020-02-03,C4891,Coffee Machine,8.0,375.97285452626176,Paypal,Completed,0,Standard,3007.782836210094,Medium,Monday,0.15,1022.6461643114321,,Standard,Standard,Branch B,Berlin,Germany,John,52.52,13.405,2020-02,24242.0,2020-02,0.0
T0154,2022-01-13,C3826,Smartphone,3.0,218.2141312027652,Paypal,Not specified,0,Standard,654.6423936082956,Low,Thursday,0.0,261.85695744331827,,Standard,Standard,Branch A,Warsaw,Poland,Anna,52.2297,21.0122,2022-01,24265.0,2020-03,22.0
T0155,2020-01-23,C1382,Coffee Machine,1.0,480.0904805246544,Paypal,Completed,0,Standard,480.0904805246544,Low,Thursday,0.0,192.03619220986178,,Standard,Standard,Branch B,Berlin,Germany,John,52.52,13.405,2020-01,24241.0,2020-01,0.0
T0157,2021-02-01,C2917,Coffee Machine,304.0,863.77,Creditcard,Pending,0,High,262586.08,High,Monday,0.0,105034.43200000002,High,High,High,Branch B,Berlin,Germany,John,52.52,13.405,2021-02,24254.0,2021-02,0.0
T17515,2024-11-25,C3287,Smartphone,1.0,850.4985899006939,Creditcard,Pending,0,High,850.4985899006939,Medium,Monday,0.15,289.1695205662359,High,High,High,Branch A,Warsaw,Poland,Anna,52.2297,21.0122,2024-11,24299.0,2020-09,50.0
T0163,2021-08-11,C666,Smartphone,8.0,455.46,Creditcard,Not specified,0,Standard,3643.68,Medium,Wednesday,0.0,1457.472,,Standard,Standard,Branch A,Warsaw,Poland,Anna,52.2297,21.0122,2021-08,24260.0,2020-07,13.0
T0165,2022-05-30,C316,Coffee Machine,599.0,523.122128544213,Paypal,Pending,0,High,313350.15499798354,High,Monday,0.0,125340.06199919342,High,High,High,Branch B,Berlin,Germany,John,52.52,13.405,2022-05,24269.0,2021-09,8.0
T0167,2021-08-05,C2395,Coffee Machine,547.0,884.3602155938391,Creditcard,Pending,0,High,483745.03792983,High,Thursday,0.0,193498.01517193203,High,High,High,Branch B,Berlin,Germany,John,52.52,13.405,2021-08,24260.0,2020-02,18.0
T0175,2020-09-26,C4393,Laptop,505.0,213.46164941734105,Cash,Completed,0,Standard,107798.13295575723,High,Saturday,0.05,40963.29052318775,,Standard,Standard,Branch D,Prague,Czechia,Elena,50.0755,14.4378,2020-09,24249.0,2020-01,8.0
