customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,Segment
C001,173,9,874117.0812175819,2,3,3,233,At Risk
C002,322,8,737206.0535816562,2,3,3,233,At Risk
C003,69,8,534951.315676463,3,3,2,332,Champions
C004,267,4,139152.04788514608,2,1,1,211,Sleeping
C005,125,10,828129.6703388591,3,3,3,333,Champions
C006,18,11,2248448.2661644635,3,3,3,333,Champions
C007,249,4,528230.6612170149,2,1,2,212,Sleeping
C008,57,8,1373675.1808874782,3,3,3,333,Champions
C009,92,8,1407455.667433108,3,3,3,333,Champions
C010,27,10,1443805.317579669,3,3,3,333,Champions
C011,426,4,359214.45867365546,1,1,2,112,Sleeping
C012,192,6,942044.6699466717,2,2,3,223,At Risk
C014,391,3,302246.72902987624,1,1,2,112,Sleeping
C015,102,7,282131.4037678266,3,3,2,332,Champions
C016,632,3,407349.8933678733,1,1,2,112,Sleeping
C017,84,8,1357238.2699094617,3,3,3,333,Champions
C018,127,3,619435.7444000276,3,1,2,312,Newbies
C019,291,6,626806.2777315563,2,2,2,222,At Risk
C020,129,8,852555.917452824,3,3,3,333,Champions
C021,373,7,789457.7648377017,1,3,3,133,At Risk
C022,411,4,554612.1956669376,1,1,2,112,Sleeping
C023,1347,4,475300.61208683584,1,1,2,112,Sleeping
C024,162,4,6549.387124054606,2,1,1,211,Sleeping
C025,102,6,1164580.1634382268,3,2,3,323,Champions
C026,33,9,353150.034104161,3,3,2,332,Champions
C027,575,8,829183.1289869902,1,3,3,133,At Risk
C028,353,4,1304675.379928092,2,1,3,213,Sleeping
C029,393,4,631718.4025124902,1,1,2,112,Sleeping
C030,549,5,698473.7819176794,1,2,3,123,At Risk
C031,409,9,1530791.2686725548,1,3,3,133,At Risk
C032,69,5,52962.80353321485,3,2,1,321,Sleeping
C033,80,4,278213.98446037323,3,1,2,312,Newbies
C034,177,4,137344.78528840464,2,1,1,211,Sleeping
C035,272,6,410008.20876279194,2,2,2,222,At Risk
C036,340,4,704718.7010669693,2,1,3,213,Sleeping
C037,1656,2,150885.79055230803,1,1,1,111,Sleeping
C038,330,8,738259.1380895852,2,3,3,233,At Risk
C039,374,3,2293.144283342329,1,1,1,111,Sleeping
C040,359,4,470053.7211313879,2,1,2,212,Sleeping
C041,27,5,71279.53462317651,3,2,1,321,Sleeping
C042,59,6,499366.1239236467,3,2,2,322,Champions
C043,30,2,2694.6574557534595,3,1,1,311,Newbies
C044,314,6,449718.5305618724,2,2,2,222,At Risk
C045,61,9,1448437.459194639,3,3,3,333,Champions
C046,581,3,959505.3657349346,1,1,3,113,Sleeping
C047,268,5,1240696.103717769,2,2,3,223,At Risk
C048,139,6,923316.8579856118,2,2,3,223,At Risk
C049,181,3,193922.47353380936,2,1,1,211,Sleeping
C050,102,5,3003.2594901893826,3,2,1,321,Sleeping
C051,67,7,819282.4546582894,3,3,3,333,Champions
C052,236,4,395900.2172313621,2,1,2,212,Sleeping
C053,373,5,292425.6592149718,1,2,2,122,At Risk
C054,128,6,788869.9670302354,3,2,3,323,Champions
C055,255,6,526809.7016258093,2,2,2,222,At Risk
C056,477,6,13857.420891316462,1,2,1,121,At Risk
