transaction_id,transaction_date,customer_id,product_name,quantity,price,payment_method,transaction_status,standardized_product_name,total_amount,value_tier,transaction_day_of_week,Manager,Branch,City,Country,lat,lon,transaction_month,order_period_num,cohort_month,cohort_index
T0001,2024-08-02,C2205,Headphones,1.0,420.21,paypal,not specified,Smartphone,420.21,Low,Friday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2024-08,24296,2021-07,37
T0002,2020-02-10,C3156,Coffee ,469.0,599.2915100832945,creditcard,pending,Coffee Machine,281067.7182290651,High,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2020-02,24242,2020-02,0
T0004,2020-08-17,C3009,Tab,1.0,868.6083413217348,paypal,pending,Tablet,868.6083413217348,Medium,Monday,Michael,Branch C,Paris,France,48.8566,2.3522,2020-08,24248,2020-05,3
T0006,2021-10-26,C4241,Smartphone,598.0,527.445927875622,paypal,completed,Smartphone,315412.664869622,High,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2021-10,24262,2020-08,14
T0013,2020-03-18,C1692,Smartphone,564.0,527.445927875622,cash,completed,Smartphone,297479.50332185085,High,Wednesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2020-03,24243,2020-03,0
T0014,2020-06-19,C2992,Coffee Machine,696.0,905.5147299335418,creditcard,failed,Coffee Machine,630238.2520337452,High,Friday,John,Branch B,Berlin,Germany,52.52,13.405,2020-06,24246,2020-01,5
T0017,2020-07-07,C3776,Smartphone,236.0,527.445927875622,creditcard,pending,Smartphone,124477.2389786468,High,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2020-07,24247,2020-07,0
T0019,2024-02-19,C4871,Smartphone,1.0,527.445927875622,paypal,pending,Smartphone,527.445927875622,Low,Monday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2024-02,24290,2021-07,31
T0024,2023-11-03,C828,Coffee Machine,487.0,520.8493387401068,cash,not specified,Coffee Machine,253653.627966432,High,Friday,John,Branch B,Berlin,Germany,52.52,13.405,2023-11,24287,2020-06,41
T0025,2022-11-18,C4985,Tablet,114.0,276.93632041675164,paypal,not specified,Tablet,31570.740527509686,High,Friday,Michael,Branch C,Paris,France,48.8566,2.3522,2022-11,24275,2021-11,12
T0026,2020-01-01,C1096,Cof,654.0,844.73,paypal,complete,Coffee Machine,552453.42,High,Wednesday,John,Branch B,Berlin,Germany,52.52,13.405,2020-01,24241,2020-01,0
T0030,2021-10-16,C3058,Headphones,5.0,528.3910851569777,paypal,failed,Smartphone,2641.9554257848886,Medium,Saturday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2021-10,24262,2021-06,4
T0031,2024-07-17,C3672,Tablet,1.0,787.9940762988269,creditcard,completed,Tablet,787.9940762988269,Medium,Wednesday,Michael,Branch C,Paris,France,48.8566,2.3522,2024-07,24295,2022-01,30
T0035,2022-07-25,C2579,Coffee Machine,485.0,970.28,creditcard,completed,Coffee Machine,470585.8,High,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2022-07,24271,2020-01,30
T0038,2020-06-18,C2208,Laptop,8.0,524.3963263783307,creditcard,failed,Laptop,4195.170611026646,Medium,Thursday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2020-06,24246,2020-06,0
T0041,2023-10-20,C1693,Laptop,865.0,524.3963263783307,creditcard,completed,Laptop,453602.82231725607,High,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-10,24286,2020-02,44
T0042,2021-08-04,C4796,Coffee Machine,8.0,520.8493387401068,creditcard,failed,Coffee Machine,4166.794709920854,Medium,Wednesday,John,Branch B,Berlin,Germany,52.52,13.405,2021-08,24260,2021-02,6
T0049,2020-06-18,C4480,Laptop,762.0,524.3963263783307,creditcard,completed,Laptop,399590.00070028804,High,Thursday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2020-06,24246,2020-06,0
T0052,2022-12-20,C4029,Headphones,839.0,528.3910851569777,paypal,pending,Smartphone,443320.1204467043,High,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-12,24276,2022-06,6
T0053,2022-07-22,C1077,Laptop,559.0,154.18505403344284,creditcard,failed,Laptop,86189.44520469455,High,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-07,24271,2021-03,16
T0055,2024-04-17,C2474,Coffee Machine,867.0,130.23186429200612,creditcard,pending,Coffee Machine,112911.0263411693,High,Wednesday,John,Branch B,Berlin,Germany,52.52,13.405,2024-04,24292,2020-04,48
T0069,2021-03-03,C1757,Headphones,1.0,528.3910851569777,creditcard,complete,Smartphone,528.3910851569777,Low,Wednesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2021-03,24255,2020-04,11
T0071,2022-11-15,C1381,Laptop,9.0,524.3963263783307,cash,not specified,Laptop,4719.566937404977,Medium,Tuesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-11,24275,2020-07,28
T0073,2021-04-10,C1319,Headp,9.0,497.73108510355155,cash,pending,Headphones,4479.579765931964,Medium,Saturday,John,Branch B,Vienna,Austria,48.2082,16.3738,2021-04,24256,2020-02,14
T0074,2025-01-16,C4509,Laptop,7.0,524.3963263783307,paypal,pending,Laptop,3670.774284648315,Medium,Thursday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2025-01,24301,2020-05,56
T0081,2023-02-28,C3687,Smartphone,8.0,527.445927875622,paypal,completed,Smartphone,4219.567423004976,Medium,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2023-02,24278,2020-01,37
T0087,2020-08-10,C703,Laptop,1.0,524.3963263783307,cash,completed,Laptop,524.3963263783307,Low,Monday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2020-08,24248,2020-02,6
T0093,2024-12-31,C3843,Tablet,973.0,784.0773703024178,creditcard,not specified,Tablet,762907.2813042525,High,Tuesday,Michael,Branch C,Paris,France,48.8566,2.3522,2024-12,24300,2021-06,42
T0103,2022-12-04,C327,Tablet,1.0,519.1465190119866,paypal,complete,Tablet,519.1465190119866,Low,Sunday,Michael,Branch C,Paris,France,48.8566,2.3522,2022-12,24276,2020-10,26
T0107,2022-08-24,C4233,Laptop,1.0,524.3963263783307,creditcard,complete,Laptop,524.3963263783307,Low,Wednesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-08,24272,2022-07,1
T0108,2020-12-24,C4889,Smart,399.0,365.2654051623009,creditcard,completed,Smartphone,145740.89665975806,High,Thursday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2020-12,24252,2020-12,0
T0112,2024-09-06,C4249,Laptop,723.0,90.34728588175324,creditcard,failed,Laptop,65321.08769250759,High,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2024-09,24297,2020-07,50
T0113,2020-04-08,C2894,Headphones,1.0,86.41580941098921,paypal,complete,Smartphone,86.41580941098921,Low,Wednesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2020-04,24244,2020-04,0
T0117,2021-03-29,C4411,Tablet,300.0,519.1465190119866,paypal,completed,Tablet,155743.95570359597,High,Monday,Michael,Branch C,Paris,France,48.8566,2.3522,2021-03,24255,2021-03,0
T0122,2021-08-22,C4055,Headphones,603.0,528.3910851569777,paypal,pending,Smartphone,318619.8243496576,High,Sunday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2021-08,24260,2020-07,13
T0129,2021-11-14,C1399,La,996.0,612.0199691406141,paypal,completed,Laptop,609571.8892640516,High,Sunday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2021-11,24263,2020-02,21
T0132,2020-08-20,C1736,Laptop,1.0,524.3963263783307,paypal,completed,Laptop,524.3963263783307,Low,Thursday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2020-08,24248,2020-08,0
T0133,2021-07-12,C2977,Laptop,137.0,524.3963263783307,creditcard,failed,Laptop,71842.29671383131,High,Monday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2021-07,24259,2020-06,13
T0136,2024-05-04,C544,Tablet,788.0,519.1465190119866,paypal,completed,Tablet,409087.45698144543,High,Saturday,Michael,Branch C,Paris,France,48.8566,2.3522,2024-05,24293,2022-09,20
T0137,2022-08-04,C4112,Headphones,322.0,528.3910851569777,paypal,complete,Smartphone,170141.92942054683,High,Thursday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-08,24272,2021-01,19
T0143,2022-06-28,C3555,Smartphone,3.0,625.381192727248,creditcard,completed,Smartphone,1876.143578181744,Medium,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-06,24270,2020-04,26
T0144,2020-02-03,C4891,Coffee Machine,8.0,375.97285452626176,paypal,complete,Coffee Machine,3007.782836210094,Medium,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2020-02,24242,2020-02,0
T0146,2022-12-14,C3320,Smartphone,1.0,527.445927875622,paypal,not specified,Smartphone,527.445927875622,Low,Wednesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-12,24276,2020-07,29
T0152,2023-04-28,C3177,Laptop,1.0,524.3963263783307,paypal,failed,Laptop,524.3963263783307,Low,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-04,24280,2020-09,31
T0154,2022-01-13,C3826,Smartphone,3.0,527.445927875622,paypal,not specified,Smartphone,1582.337783626866,Medium,Thursday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-01,24265,2020-03,22
T0155,2020-01-23,C1382,Coffee Machine,1.0,520.8493387401068,paypal,complete,Coffee Machine,520.8493387401068,Low,Thursday,John,Branch B,Berlin,Germany,52.52,13.405,2020-01,24241,2020-01,0
T0157,2021-02-01,C2917,Coffee Machine,304.0,863.77,creditcard,pending,Coffee Machine,262586.08,High,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2021-02,24254,2021-02,0
T17515,2024-11-25,C3287,Smartphone,1.0,850.4985899006939,creditcard,pending,Smartphone,850.4985899006939,Medium,Monday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2024-11,24299,2020-09,50
T0163,2021-08-11,C666,Smartphone,8.0,527.445927875622,creditcard,not specified,Smartphone,4219.567423004976,Medium,Wednesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2021-08,24260,2020-07,13
T0165,2022-05-30,C316,Coffee Machine,599.0,520.8493387401068,paypal,pending,Coffee Machine,311988.753905324,High,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2022-05,24269,2021-09,8
T0167,2021-08-05,C2395,Coffee Machine,547.0,520.8493387401068,creditcard,pending,Coffee Machine,284904.5882908384,High,Thursday,John,Branch B,Berlin,Germany,52.52,13.405,2021-08,24260,2020-02,18
T0175,2020-09-26,C4393,Laptop,505.0,213.46164941734105,cash,complete,Laptop,107798.13295575723,High,Saturday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2020-09,24249,2020-01,8
T0177,2025-01-04,C3662,Tablet,1.0,460.8278566012473,paypal,completed,Tablet,460.8278566012473,Low,Saturday,Michael,Branch C,Paris,France,48.8566,2.3522,2025-01,24301,2022-07,30
T0179,2021-08-19,C4160,Tablet,622.0,121.8158272059667,cash,completed,Tablet,75769.44452211128,High,Thursday,Michael,Branch C,Paris,France,48.8566,2.3522,2021-08,24260,2021-03,5
T0181,2022-05-04,C887,Smartphone,359.0,365.48,creditcard,failed,Smartphone,131207.32,High,Wednesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-05,24269,2020-05,24
T0182,2021-07-24,C4140,Coffee Machine,916.0,516.1081584281587,creditcard,pending,Coffee Machine,472755.0731201934,High,Saturday,John,Branch B,Berlin,Germany,52.52,13.405,2021-07,24259,2020-02,17
T0185,2024-05-14,C4308,Smartphone,779.0,388.0390415465828,paypal,completed,Smartphone,302282.413364788,High,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2024-05,24293,2020-02,51
T0187,2024-04-12,C2965,Smartphone,1.0,527.445927875622,cash,not specified,Smartphone,527.445927875622,Low,Friday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2024-04,24292,2020-04,48
T0188,2023-08-12,C1159,Laptop,1.0,524.3963263783307,creditcard,pending,Laptop,524.3963263783307,Low,Saturday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-08,24284,2020-09,35
T0189,2022-08-19,C047,Smartphone,10.0,252.64176119515056,paypal,complete,Smartphone,2526.4176119515055,Medium,Friday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-08,24272,2020-09,23
T0197,2021-03-08,C4862,Laptop,821.0,524.3963263783307,creditcard,pending,Laptop,430529.3839566095,High,Monday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2021-03,24255,2021-03,0
T0199,2023-03-11,C3558,Coffee Machine,5.0,520.8493387401068,creditcard,pending,Coffee Machine,2604.246693700534,Medium,Saturday,John,Branch B,Berlin,Germany,52.52,13.405,2023-03,24279,2020-10,29
T0203,2022-08-28,C4643,Laptop,1.0,524.3963263783307,paypal,completed,Laptop,524.3963263783307,Low,Sunday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-08,24272,2020-04,28
T0204,2021-02-08,C4690,Headphones,258.0,854.4182002616594,creditcard,not specified,Smartphone,220439.89566750813,High,Monday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2021-02,24254,2020-03,11
T0209,2024-03-13,C1378,C,586.0,445.25623821866463,cash,completed,Coffee Machine,260920.15559613748,High,Wednesday,John,Branch B,Berlin,Germany,52.52,13.405,2024-03,24291,2020-04,47
T0210,2022-03-08,C3762,Coffee Machine,1.0,148.63019474593415,creditcard,completed,Coffee Machine,148.63019474593415,Low,Tuesday,John,Branch B,Berlin,Germany,52.52,13.405,2022-03,24267,2020-11,16
T0220,2023-10-11,C3610,Smartphone,10.0,527.445927875622,paypal,not specified,Smartphone,5274.459278756221,Medium,Wednesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2023-10,24286,2020-04,42
T0221,2020-03-08,C1613,Coffee Machine,1.0,58.03358928393075,creditcard,failed,Coffee Machine,58.03358928393075,Low,Sunday,John,Branch B,Berlin,Germany,52.52,13.405,2020-03,24243,2020-03,0
T0225,2023-04-18,C298,Tablet,10.0,282.0102882048541,paypal,failed,Tablet,2820.102882048541,Medium,Tuesday,Michael,Branch C,Paris,France,48.8566,2.3522,2023-04,24280,2020-10,30
T0228,2022-04-03,C1613,Tablet,1.0,519.1465190119866,paypal,completed,Tablet,519.1465190119866,Low,Sunday,Michael,Branch C,Paris,France,48.8566,2.3522,2022-04,24268,2020-03,25
T0230,2023-06-07,C1387,Hea,1.0,933.2568077416644,paypal,completed,Headphones,933.2568077416644,Medium,Wednesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2023-06,24282,2021-03,27
T0235,2020-03-31,C4657,Coffee Machine,162.0,520.8493387401068,creditcard,complete,Coffee Machine,84377.5928758973,High,Tuesday,John,Branch B,Berlin,Germany,52.52,13.405,2020-03,24243,2020-03,0
T0237,2021-03-23,C3835,Smartphone,1.0,527.445927875622,cash,not specified,Smartphone,527.445927875622,Low,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2021-03,24255,2020-07,8
T0241,2022-12-09,C2398,Coffee Machine,1.0,643.7099744048677,paypal,failed,Coffee Machine,643.7099744048677,Medium,Friday,John,Branch B,Berlin,Germany,52.52,13.405,2022-12,24276,2020-04,32
T0242,2023-12-01,C2286,Coffee Machine,1.0,520.8493387401068,paypal,completed,Coffee Machine,520.8493387401068,Low,Friday,John,Branch B,Berlin,Germany,52.52,13.405,2023-12,24288,2020-08,40
T0245,2021-07-30,C1417,Tablet,1.0,519.1465190119866,cash,failed,Tablet,519.1465190119866,Low,Friday,Michael,Branch C,Paris,France,48.8566,2.3522,2021-07,24259,2021-03,4
T0248,2024-07-10,C2496,Head,431.0,242.13,paypal,failed,Headphones,104358.03,High,Wednesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2024-07,24295,2020-11,44
T0251,2023-04-17,C3631,Headphones,212.0,873.7449157057446,creditcard,failed,Smartphone,185233.92212961786,High,Monday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2023-04,24280,2023-04,0
T0252,2022-03-01,C4052,Lapt,1.0,538.144243872786,creditcard,completed,Laptop,538.144243872786,Low,Tuesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-03,24267,2021-08,7
T0253,2024-03-22,C1374,Laptop,1.0,115.6814182877149,cash,completed,Laptop,115.6814182877149,Low,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2024-03,24291,2020-01,50
T0254,2021-11-14,C2859,Coffee Machine,165.0,115.37062226098816,creditcard,complete,Coffee Machine,19036.152673063047,High,Sunday,John,Branch B,Berlin,Germany,52.52,13.405,2021-11,24263,2020-05,18
T0255,2021-01-12,C4435,Lapto,1.0,878.3307368842339,creditcard,failed,Laptop,878.3307368842339,Medium,Tuesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2021-01,24253,2020-01,12
T0267,2021-01-18,C4543,Coffee Machine,1.0,699.4001442993365,cash,complete,Coffee Machine,699.4001442993365,Medium,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2021-01,24253,2020-03,10
T0268,2023-12-01,C2381,Laptop,7.0,524.3963263783307,paypal,failed,Laptop,3670.774284648315,Medium,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-12,24288,2020-09,39
T0269,2024-08-11,C3990,Coffee Machine,1.0,810.4362003026442,creditcard,completed,Coffee Machine,810.4362003026442,Medium,Sunday,John,Branch B,Berlin,Germany,52.52,13.405,2024-08,24296,2020-10,46
T0274,2023-02-08,C2934,Coffee Machine,8.0,58.90413474001046,paypal,failed,Coffee Machine,471.2330779200837,Low,Wednesday,John,Branch B,Berlin,Germany,52.52,13.405,2023-02,24278,2020-03,35
T0278,2020-11-28,C1298,Coffee Machine,319.0,520.8493387401068,paypal,completed,Coffee Machine,166150.93905809405,High,Saturday,John,Branch B,Berlin,Germany,52.52,13.405,2020-11,24251,2020-11,0
T0282,2023-07-19,C1022,Laptop,5.0,524.3963263783307,creditcard,completed,Laptop,2621.9816318916537,Medium,Wednesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-07,24283,2023-05,2
T0284,2022-10-04,C1301,Laptop,222.0,698.6577228569703,cash,pending,Laptop,155102.0144742474,High,Tuesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-10,24274,2021-03,19
T0294,2023-07-24,C1719,Laptop,3.0,581.8841170252601,creditcard,completed,Laptop,1745.6523510757804,Medium,Monday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-07,24283,2020-01,42
T0299,2020-11-26,C1664,Headphones,1.0,132.95090982621306,creditcard,pending,Smartphone,132.95090982621306,Low,Thursday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2020-11,24251,2020-08,3
