transaction_id,transaction_date,customer_id,product_name,quantity,price,payment_method,transaction_status,total_amount,branch,city,country,region,department,manager,lat,lon,value_tier
T15693,2024-08-05,C3666,Smartphone,-2.0,597.0,Credit Card,,-1194.0,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T17672,2024-08-05,C645,Tablet,978.0,,Credit Card,Completed,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
,2024-08-05,C2821,Coffee Machine,-5.0,799.1914448102832,creditcard,completed,-3995.9572240514162,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
,2024-08-05,C1301,Tablet,5.0,817.7865836706592,pay pal,Failed,4088.932918353296,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T34276,2024-08-06,C2359,Coffee Machine,-8.0,953.0706746269054,PayPal ,Pending,-7624.565397015243,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T69709,2024-08-06,C1578,Smartphone,3.0,,PayPal ,completed,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T85314,2024-08-06,C433,Tablet,1.0,,credit card,Pending,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T61062,2024-08-06,C2536,Tablet,261.0,955.9806000027924,pay pal,Completed,249510.9366007288,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T96386,2024-08-06,C4773,Laptop,5.0,693.8442563866579,Credit Card,complete,3469.2212819332894,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,High
T3933,2024-08-06,C4532,Smartphone,-6.0,281.63046976728447,PayPal,completed,-1689.7828186037068,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T16431,2024-08-06,C2206,Tablet,890.0,153.40709867423834,pay pal,Failed,136532.31782007212,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T69709,2024-08-06,C1578,Smartphone,3.0,,PayPal ,completed,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T16975,2024-08-06,C3839,Smartphone,-1.0,,Cash,,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T22932,2024-08-06,C616,Coffee Machine,1.0,416.6732014415215,Credit Card,,416.6732014415215,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Medium
T51805,2024-08-06,C3028,Tablet,5.0,803.1499639956189,PayPal ,complete,4015.749819978095,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T83296,2024-08-06,C2930,Smartphone,865.0,605.9781549180352,PayPal ,complete,524171.1040041005,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T3211,2024-08-06,C2708,Coffee Machine,2.0,636.5341375810178,Credit Card,,1273.0682751620357,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,High
T78584,2024-08-06,C3193,Laptop,-7.0,,PayPal,Failed,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T65350,2024-08-06,C652,Coffee Machine,2.0,162.20867283155906,pay pal,Completed,324.4173456631181,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Medium
T83610,2024-08-07,C4710,Coffee Machine,10.0,893.2913183151362,PayPal,Completed,8932.913183151362,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,High
T14076,2024-08-07,C1755,Laptop,596.0,484.600794078315,Credit Card,Failed,288822.0732706757,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,High
T80844,2024-08-07,C2835,Smartphone,4.0,,pay pal,Completed,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T21774,2024-08-07,C3647,Smartphone,3.0,964.2873743605962,Credit Card,,2892.862123081789,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T58517,2024-08-07,C734,Tablet,195.0,718.2918544536448,Credit Card,complete,140066.91161846073,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T90710,2024-08-07,C2477,Laptop,-3.0,259.53691717809374,PayPal ,,-778.6107515342812,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T60156,2024-08-07,C4513,Laptop,-1.0,631.6684013182388,creditcard,Pending,-631.6684013182388,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T3709,2024-08-07,C1721,Laptop,-4.0,,creditcard,complete,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T67117,2024-08-07,C3783,Coffee Machine,-8.0,,Credit Card,,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T49008,2024-08-07,C4994,Coffee Machine,423.0,,Cash,,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T8250,2024-08-07,C113,Coffee Machine,8.0,976.405183955766,credit card,completed,7811.241471646128,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,High
T44074,2024-08-07,C3935,Smartphone,8.0,736.9269618022704,Credit Card,complete,5895.415694418163,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T2417,2024-08-07,C4482,Coffee Machine,973.0,,credit card,completed,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T86335,2024-08-08,C2859,Smartphone,-7.0,87.93324795561045,creditcard,Failed,-615.5327356892732,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T80459,2024-08-08,C2770,Coffee Machine,8.0,311.56917286190736,creditcard,Failed,2492.553382895259,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,High
T32315,2024-08-08,C3722,Smartphone,118.0,872.7551328494014,pay pal,Pending,102985.10567622937,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T76637,2024-08-08,C4695,Tablet,7.0,,creditcard,Pending,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T7167,2024-08-08,C1136,Headphones,302.0,150.2588804633982,PayPal,Pending,45378.18189994626,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
T75063,2024-08-08,C3896,Coffee Machine,-9.0,654.0528915773505,pay pal,Pending,-5886.476024196154,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T73296,2024-08-08,C407,Smartphone,-7.0,746.0240641537299,credit card,Failed,-5222.168449076109,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T42970,2024-08-08,C3741,Laptop,-3.0,863.6865946183831,Credit Card,,-2591.0597838551494,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T24343,2024-08-08,C3787,Smartphone,-1.0,312.9059574639496,creditcard,Pending,-312.9059574639496,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T22854,2024-08-08,C2219,Headphones,9.0,,PayPal ,,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T80978,2024-08-08,,Smartphone,4.0,,creditcard,complete,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T65565,2024-08-08,C762,Tablet,-2.0,291.8956116299265,Credit Card,completed,-583.791223259853,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T10316,2024-08-08,C4476,Coffee Machine,-3.0,716.4048179443969,credit card,completed,-2149.2144538331904,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T98422,2024-08-08,C608,Coffee Machine,298.0,943.56,PayPal ,Failed,281180.88,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,High
