transaction_id,transaction_date,customer_id,product_name,quantity,price,payment_method,transaction_status,total_amount,branch,city,country,region,department,manager,lat,lon,value_tier
T46858,2020-01-01,C3054,Coffee Machine,-2.0,952.3268604215748,PayPal,Pending,-1904.6537208431496,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T74138,2020-01-01,C2910,Laptop,-1.0,837.127382825673,pay pal,complete,-837.127382825673,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T15153,2020-01-01,C2165,Smartphone,,,Credit Card,Failed,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T62679,2020-01-01,C1912,Tablet,7.0,,creditcard,completed,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T39156,2020-01-01,C4666,Coffee Machine,1.0,800.9409011686039,credit card,Failed,800.9409011686039,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Medium
T68111,2020-01-01,C2744,Smartphone,7.0,857.7359014637655,Credit Card,completed,6004.151310246358,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T33592,2020-01-01,C3850,Smartphone,604.0,201.4210649499705,PayPal,complete,121658.3232297822,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T8720,2020-01-01,C3400,Headphones,-9.0,596.1991538303522,PayPal ,completed,-5365.7923844731695,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T23672,2020-01-01,C2215,Smartphone,-3.0,,Credit Card,complete,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T66966,2020-01-01,C4761,Headphones,943.0,495.2697687214901,PayPal ,completed,467039.39190436515,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
T22312,2020-01-01,C687,Tablet,973.0,848.4864726981726,Cash,,825577.337935322,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T66678,2020-01-01,C570,Smartphone,,514.0365803822617,Credit Card,,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T25919,2020-01-01,C3308,Coffee Machine,939.0,,pay pal,complete,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T59619,2020-01-01,C4785,Smartphone,5.0,,Credit Card,,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T0026,2020-01-01,C1096,Coffee Machine,654.0,,PayPal ,complete,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T7685,2020-01-01,C257,Coffee Machine,9.0,945.8729673990684,credit card,complete,8512.856706591616,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,High
T25573,2020-01-02,C984,Coffee Machine,-4.0,942.0088181272616,pay pal,Pending,-3768.0352725090465,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T25912,2020-01-02,,Coffee Machine,642.0,977.525493347386,Cash,complete,627571.3667290219,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,High
