transaction_id,transaction_date,customer_id,product_name,quantity,price,payment_method,transaction_status,total_amount,value_tier,transaction_day_of_week,Manager,Branch,City,Country,lat,lon,transaction_month,order_period_num,cohort_month,cohort_index
T0001,2024-08-02,C2205,Headphones,1.0,420.21,Paypal,Not specified,420.21,Low,Friday,John,Branch B,Vienna,Austria,48.2082,16.3738,2024-08,24296,2021-07,37
T0002,2020-02-10,C3156,Coffee Machine,469.0,599.2915100832945,Creditcard,Pending,281067.7182290651,High,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2020-02,24242,2020-02,0
T0004,2020-08-17,C3009,Tablet,1.0,868.6083413217348,Paypal,Pending,868.6083413217348,Medium,Monday,Michael,Branch C,Paris,France,48.8566,2.3522,2020-08,24248,2020-05,3
T0006,2021-10-26,C4241,Smartphone,598.0,527.445927875622,Paypal,Completed,315412.664869622,High,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2021-10,24262,2020-08,14
T0013,2020-03-18,C1692,Smartphone,564.0,527.445927875622,Cash,Completed,297479.50332185085,High,Wednesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2020-03,24243,2020-03,0
T0014,2020-06-19,C2992,Coffee Machine,696.0,905.5147299335418,Creditcard,Failed,630238.2520337452,High,Friday,John,Branch B,Berlin,Germany,52.52,13.405,2020-06,24246,2020-01,5
T0017,2020-07-07,C3776,Smartphone,236.0,527.445927875622,Creditcard,Pending,124477.2389786468,High,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2020-07,24247,2020-07,0
T0019,2024-02-19,C4871,Smartphone,1.0,527.445927875622,Paypal,Pending,527.445927875622,Low,Monday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2024-02,24290,2021-07,31
T0024,2023-11-03,C828,Coffee Machine,487.0,520.8493387401068,Cash,Not specified,253653.627966432,High,Friday,John,Branch B,Berlin,Germany,52.52,13.405,2023-11,24287,2020-06,41
T0025,2022-11-18,C4985,Tablet,114.0,276.93632041675164,Paypal,Not specified,31570.740527509686,High,Friday,Michael,Branch C,Paris,France,48.8566,2.3522,2022-11,24275,2021-11,12
T0026,2020-01-01,C1096,Coffee Machine,654.0,844.73,Paypal,Completed,552453.42,High,Wednesday,John,Branch B,Berlin,Germany,52.52,13.405,2020-01,24241,2020-01,0
T0030,2021-10-16,C3058,Headphones,5.0,528.3910851569777,Paypal,Failed,2641.9554257848886,Medium,Saturday,John,Branch B,Vienna,Austria,48.2082,16.3738,2021-10,24262,2021-06,4
T0031,2024-07-17,C3672,Tablet,1.0,787.9940762988269,Creditcard,Completed,787.9940762988269,Medium,Wednesday,Michael,Branch C,Paris,France,48.8566,2.3522,2024-07,24295,2022-01,30
T0035,2022-07-25,C2579,Coffee Machine,485.0,970.28,Creditcard,Completed,470585.8,High,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2022-07,24271,2020-01,30
T0038,2020-06-18,C2208,Laptop,8.0,524.3963263783307,Creditcard,Failed,4195.170611026646,Medium,Thursday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2020-06,24246,2020-06,0
T0041,2023-10-20,C1693,Laptop,865.0,524.3963263783307,Creditcard,Completed,453602.82231725607,High,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-10,24286,2020-02,44
T0042,2021-08-04,C4796,Coffee Machine,8.0,520.8493387401068,Creditcard,Failed,4166.794709920854,Medium,Wednesday,John,Branch B,Berlin,Germany,52.52,13.405,2021-08,24260,2021-02,6
T0049,2020-06-18,C4480,Laptop,762.0,524.3963263783307,Creditcard,Completed,399590.00070028804,High,Thursday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2020-06,24246,2020-06,0
T0052,2022-12-20,C4029,Headphones,839.0,528.3910851569777,Paypal,Pending,443320.1204467043,High,Tuesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2022-12,24276,2022-06,6
T0053,2022-07-22,C1077,Laptop,559.0,154.18505403344284,Creditcard,Failed,86189.44520469455,High,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-07,24271,2021-03,16
T0055,2024-04-17,C2474,Coffee Machine,867.0,130.23186429200612,Creditcard,Pending,112911.0263411693,High,Wednesday,John,Branch B,Berlin,Germany,52.52,13.405,2024-04,24292,2020-04,48
T0069,2021-03-03,C1757,Headphones,1.0,528.3910851569777,Creditcard,Completed,528.3910851569777,Low,Wednesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2021-03,24255,2020-04,11
T0071,2022-11-15,C1381,Laptop,9.0,524.3963263783307,Cash,Not specified,4719.566937404977,Medium,Tuesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-11,24275,2020-07,28
T0073,2021-04-10,C1319,Headphones,9.0,497.73108510355155,Cash,Pending,4479.579765931964,Medium,Saturday,John,Branch B,Vienna,Austria,48.2082,16.3738,2021-04,24256,2020-02,14
T0074,2025-01-16,C4509,Laptop,7.0,524.3963263783307,Paypal,Pending,3670.774284648315,Medium,Thursday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2025-01,24301,2020-05,56
