Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T85490,,C3256,Phone,8.0,-229.34598849304803,credit card,
T85491,,C3449,Laptop,,,Cash,complete
T85495,,C2119,Laptop,3.0,,Credit Card,Failed
T85496,,C3122,Smartphone,,,Cash,completed
T85497,,C399,Laptop,2.0,862.7648145304116,PayPal ,
T85500,,C3690,Smartphone,2.0,,PayPal ,
,,C4324,Smartphone,326.0,,PayPal ,
T85502,,C1128,Laptop,-10.0,,PayPal,Pending
T85503,,C1868,Coffee Machine,5.0,,pay pal,Failed
T85504,,C1901,Tablet,-2.0,,creditcard,complete
T85506,,C4070,Tabl,9.0,,PayPal,complete
,,C1386,Tablet,7.0,247.45210234623244,PayPal,
T85508,,C4792,Smartphone,934.0,,credit card,Completed
T85509,,C524,He,651.0,,pay pal,Completed
T85510,,C3301,Smartphone,617.0,,Cash,Pending
T85511,,C4784,Tablet,-8.0,,credit card,Completed
T85512,,C4189,Coffee Machi,3.0,843.6912001871898,PayPal ,Failed
T85513,,C1406,Smartphone,848.0,,PayPal,
T85514,,C3158,Laptop,-9.0,$865.84,pay pal,complete
T85515,,C2194,Coffee Machine,7.0,331.61113945892436,creditcard,complete
T85516,,C3704,Tabl,409.0,-917.7964742933303,Credit Card,Pending
T85517,,C126,Lap,10.0,,creditcard,completed
T85518,,C006,Coffee Machine,935.0,226.9444661781185,PayPal,
T85519,,C4712,Tablet,649.0,,creditcard,Pending
T85520,,C3810,Smartphone,-9.0,227.13581765446204,PayPal,complete
T85521,,C1376,Coffee Machine,7.0,$-298.96,Credit Card,completed
T85522,,C3301,Coffee Machine,274.0,,PayPal ,Pending
T85525,,C2357,Coffee Machine,-6.0,436.20223822262994,pay pal,Pending
T85529,,C3244,Coffee Machine,546.0,-53.6549052295378,creditcard,
T85530,,C3666,Smartphone,393.0,-311.87782550814075,PayPal ,
T85531,,C3322,Smartphone,10.0,-188.78486411066217,pay pal,Pending
T85533,,C2389,Smartphone,-1.0,182.004936199404,pay pal,Failed
T85538,,C4991,Tablet,-5.0,413.52549326942864,PayPal ,Completed
T85540,,C582,Tablet,5.0,,credit card,
T85541,,C4571,Tablet,391.0,-854.2471805185941,Credit Card,Completed
T85542,,C3415,Laptop,998.0,779.6646590849298,credit card,Failed
T85543,,C4454,Tablet,3.0,,PayPal,
T85544,,C397,Coffee Machine,265.0,,pay pal,completed
T85545,,C3329,Coffee Machine,4.0,732.2107784980876,pay pal,completed
T85546,,C4657,Headphones,920.0,-584.5360551013849,creditcard,Failed
T85547,,C2152,Tablet,8.0,,Credit Card,Failed
T85548,,C368,Smartphone,-6.0,,creditcard,Completed
T85549,,C1490,Smartphone,-5.0,-432.99312294877427,Cash,complete
T85550,,C2328,Coffee Machine,-9.0,961.54714129347,PayPal ,Pending
T85552,,C3762,Tablet,10.0,387.2004692628324,Cash,Failed
T85554,,C2876,Coffee Machine,189.0,-506.7237267643641,pay pal,Completed
T85555,,C4882,Tablet,1.0,-349.9690842140409,PayPal,
T85556,,C3601,Tablet,-9.0,-671.2287248798144,pay pal,complete
T85557,,C594,Tabl,8.0,549.8689576961515,credit card,complete
T85558,,,Smartphone,-6.0,,Cash,Failed
T85561,,,Tablet,-10.0,$-648.65,Cash,Failed
T85563,,C4604,Laptop,10.0,-638.6873611456022,credit card,Completed
T85565,,C3182,Headphones,-4.0,689.4837659175068,Credit Card,
T85566,,C1198,Coffee Machine,-1.0,69.15604870352763,PayPal,completed
T85568,,C2473,Smartphone,8.0,-646.33555509561,PayPal,Completed
T85569,,C367,Tablet,536.0,337.69973540191666,credit card,
T85570,,C1992,Smartphone,-8.0,,Credit Card,Completed
T85571,,C2553,Laptop,140.0,-676.9003677899923,Credit Card,Completed
T85573,,,Smartphone,2.0,-582.2654007589858,creditcard,Failed
T85575,,C2452,Tablet,1.0,519.6562882318938,pay pal,Failed
T85577,,C4924,Headphones,-10.0,,PayPal ,Pending
T85578,,C3959,Tablet,476.0,,Cash,Pending
T85580,,C4306,Headphon,9.0,701.8918302030733,credit card,complete
T85582,,C1446,Tablet,9.0,291.52295146267,Cash,
T85583,,C2667,Headphones,894.0,,creditcard,complete
T85584,,,Smartphone,3.0,,Cash,
T85587,,C1790,Laptop,-7.0,-947.4908731496753,PayPal,complete
T85588,,C3545,Laptop,497.0,-775.826068306967,Credit Card,completed
T85589,,C3178,Coffee Machine,-5.0,,PayPal ,completed
T85591,,C2974,Laptop,-9.0,941.9465753168084,Credit Card,Failed
T85592,,C094,Laptop,1.0,-654.9044310482491,Cash,complete
