customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,Segment
C001,173,9,1007502.2299938097,2,3,3,233,At Risk
C002,322,8,692108.0320388846,2,3,3,233,At Risk
C003,69,8,533628.9469059099,3,3,2,332,Champions
C004,267,4,139414.88910121343,2,1,1,211,Sleeping
C005,125,10,935326.6194612458,3,3,3,333,Champions
C006,18,11,2044806.9535246552,3,3,3,333,Champions
C007,249,4,791304.9883995551,2,1,3,213,Sleeping
C008,57,8,1117272.685697568,3,3,3,333,Champions
C009,92,8,1409160.6912648603,3,3,3,333,Champions
C010,27,10,1091458.6208745185,3,3,3,333,Champions
C011,426,4,358979.3561436401,1,1,2,112,Sleeping
C012,192,6,765337.582084772,2,2,3,223,At Risk
C014,391,3,302173.8666253865,1,1,2,112,Sleeping
C015,102,7,283823.3583951835,3,2,2,322,Champions
C016,632,3,418955.7747765398,1,1,2,112,Sleeping
C017,84,8,1321289.043609274,3,3,3,333,Champions
C018,127,3,607053.5744923888,2,1,2,212,Sleeping
C019,291,6,961931.9874386817,2,2,3,223,At Risk
C020,129,9,1041978.1633505428,2,3,3,233,At Risk
C021,373,7,599590.6826725904,1,2,2,122,At Risk
C022,411,4,871836.3298697711,1,1,3,113,Sleeping
C023,1347,5,384432.1976769277,1,1,2,112,Sleeping
C024,162,4,6810.647386964258,2,1,1,211,Sleeping
C025,102,6,973265.9712984622,3,2,3,323,Champions
C026,33,9,551902.5593410487,3,3,2,332,Champions
C027,101,9,774173.04004924,3,3,3,333,Champions
C028,353,4,1314159.108995467,1,1,3,113,Sleeping
C029,393,4,633013.9297433298,1,1,2,112,Sleeping
C030,549,5,617100.6459845502,1,1,2,112,Sleeping
C031,409,9,1633566.531434612,1,3,3,133,At Risk
C032,69,5,56642.37814026514,3,1,1,311,Newbies
C033,80,4,279285.16540546715,3,1,2,312,Newbies
C034,177,4,228271.70541207076,2,1,1,211,Sleeping
C035,272,6,366431.7491981634,2,2,2,222,At Risk
C036,340,4,705421.7757045277,2,1,3,213,Sleeping
C037,1656,2,150884.17853928942,1,1,1,111,Sleeping
C038,330,8,967615.4628286584,2,3,3,233,At Risk
C039,374,3,2414.4319676703044,1,1,1,111,Sleeping
C040,359,4,470210.7065309876,1,1,2,112,Sleeping
C041,27,5,312010.0670015995,3,1,2,312,Newbies
C042,59,6,502846.9398812255,3,2,2,322,Champions
C043,30,2,6831.898835792181,3,1,1,311,Newbies
C044,314,7,403343.8384991784,2,2,2,222,At Risk
C045,61,9,1186287.6529196126,3,3,3,333,Champions
C046,581,3,959505.3657349346,1,1,3,113,Sleeping
C047,268,5,1243859.4964501916,2,1,3,213,Sleeping
C048,139,6,1111711.9830645905,2,2,3,223,At Risk
C049,181,3,193940.9230775167,2,1,1,211,Sleeping
C050,102,5,3004.804836539629,3,1,1,311,Newbies
C051,67,8,822365.0183772396,3,3,3,333,Champions
C052,236,5,395556.1614499877,2,1,2,212,Sleeping
C053,373,5,163387.2347072381,1,1,1,111,Sleeping
C054,99,7,453490.1025507818,3,2,2,322,Champions
C055,255,6,484628.9373463546,2,2,2,222,At Risk
C056,477,6,14685.68040170707,1,2,1,121,At Risk
C057,35,10,987978.1593726947,3,3,3,333,Champions
C058,163,5,582222.903524555,2,1,2,212,Sleeping
C059,125,6,20483.49892476757,3,2,1,321,Sleeping
C060,227,8,685808.4706035818,2,3,3,233,At Risk
C061,377,7,76410.31105809567,1,2,1,121,At Risk
C062,1223,3,263751.3298846801,1,1,1,111,Sleeping
C063,74,7,87002.77920869477,3,2,1,321,Sleeping
C064,66,5,477051.25674675865,3,1,2,312,Newbies
C065,1036,6,442021.994787796,1,2,2,122,At Risk
C066,387,10,585966.1176776888,1,3,2,132,At Risk
C067,361,5,217842.03120244556,1,1,1,111,Sleeping
C068,35,2,462517.75978885306,3,1,2,312,Newbies
C069,255,2,13786.533319120714,2,1,1,211,Sleeping
C070,789,1,430.5754761180207,1,1,1,111,Sleeping
C071,463,5,264296.63899284764,1,1,1,111,Sleeping
C072,134,8,741174.3443532466,2,3,3,233,At Risk
C073,610,5,769172.6550213579,1,1,3,113,Sleeping
C074,77,6,347814.8643799047,3,2,2,322,Champions
C075,60,5,206570.3966112655,3,1,1,311,Newbies
C076,465,7,951511.0128008651,1,2,3,123,At Risk
C077,10,5,643238.3036267911,3,1,2,312,Newbies
C078,11,4,210890.77182959858,3,1,1,311,Newbies
C079,290,6,1146196.4104844045,2,2,3,223,At Risk
C080,58,4,739731.1429917257,3,1,3,313,Newbies
C081,447,4,194027.49015561063,1,1,1,111,Sleeping
C082,70,9,307147.5469709127,3,3,2,332,Champions
C083,259,8,115962.92122912162,2,3,1,231,At Risk
C084,502,5,200378.0812632445,1,1,1,111,Sleeping
C085,805,4,515923.49712725356,1,1,2,112,Sleeping
C086,655,6,507000.45007900224,1,2,2,122,At Risk
C087,194,3,4203.913762559061,2,1,1,211,Sleeping
C088,458,4,72605.48782139122,1,1,1,111,Sleeping
C089,189,10,1010591.3465860182,2,3,3,233,At Risk
C090,23,9,795720.772648715,3,3,3,333,Champions
C091,248,3,152202.82048713588,2,1,1,211,Sleeping
C092,3,14,1389709.1873572783,3,3,3,333,Champions
C093,58,7,879603.4285497307,3,2,3,323,Champions
C094,9,6,1418973.1479602556,3,2,3,323,Champions
C095,275,7,1237225.5721827704,2,2,3,223,At Risk
C096,66,3,638878.5587396629,3,1,2,312,Newbies
