Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T46858,2020-01-01,C3054,Coffee Machine,-2.0,952.3268604215747,PayPal,Pending
T74138,2020-01-01,C2910,Laptop,-1.0,837.127382825673,pay pal,complete
T15153,2020-01-01,C2165,Smartphone,,,Credit Card,Failed
T62679,2020-01-01,C1912,Tablet,7.0,,creditcard,completed
T39156,2020-01-01,C4666,Coffee Machine,1.0,800.9409011686039,credit card,Failed
T68111,2020-01-01,C2744,Smartphone,7.0,857.7359014637655,Credit Card,completed
T33592,2020-01-01,C3850,Smartphone,604.0,-201.4210649499705,PayPal,complete
T8720,2020-01-01,C3400,Headphones,-9.0,596.1991538303522,PayPal ,completed
T23672,2020-01-01,C2215,Smartphone,-3.0,,Credit Card,complete
T66966,2020-01-01,C4761,Headphones,943.0,495.2697687214901,PayPal ,completed
T22312,2020-01-01,C687,Tablet,973.0,848.4864726981726,Cash,
T66678,2020-01-01,C570,Smartphone,,-514.0365803822617,Credit Card,
T25919,2020-01-01,C3308,Coffee Machine,939.0,,pay pal,complete
T59619,2020-01-01,C4785,Smartphone,5.0,,Credit Card,
T0026,2020-01-01,C1096,Cof,654.0,,PayPal ,complete
T7685,2020-01-01,C257,Coffee Machine,9.0,945.8729673990683,credit card,complete
T25573,2020-01-02,C984,Coffee Machin,-4.0,-942.0088181272615,pay pal,Pending
T25912,2020-01-02,,Coffee Machine,642.0,977.5254933473859,Cash,complete
T19804,2020-01-02,C4269,Headphones,-4.0,,PayPal ,
T19057,2020-01-02,C832,Coffee Machine,913.0,270.63710010609486,Cash,Completed
T87076,2020-01-02,C330,Headphones,9.0,,pay pal,Pending
T93436,2020-01-02,C4106,Headphones,175.0,,PayPal,Pending
T29874,2020-01-02,,Smartphone,7.0,,Credit Card,Failed
T88829,2020-01-02,C3263,Tablet,-2.0,-264.42460938304555,creditcard,Completed
,2020-01-02,C2398,Smartphone,-9.0,-108.46776788039006,credit card,
T12257,2020-01-02,C4210,Coffee Machine,-3.0,$-873.84,creditcard,complete
T69934,2020-01-02,C086,Smartphone,4.0,,creditcard,Failed
T33460,2020-01-02,C4155,Smartphone,2.0,,pay pal,
T5520,2020-01-02,C2710,Laptop,4.0,,credit card,completed
T5965,2020-01-02,C2502,Tablet,-1.0,-100.9090442684751,pay pal,completed
T45213,2020-01-02,C645,Headphones,220.0,-954.3250839781006,creditcard,Pending
T83223,2020-01-02,C3524,Smartphone,6.0,,credit card,complete
T43708,2020-01-02,C3518,Head,5.0,346.0595586097863,creditcard,completed
T57536,2020-01-02,C1087,Tablet,908.0,,credit card,
T96200,2020-01-03,C1860,Coffee ,747.0,551.7830201665889,pay pal,complete
T67663,2020-01-03,C789,Smartphone,-5.0,500.8460812585219,creditcard,
T99760,2020-01-03,C779,Headphones,1.0,145.71616419656095,PayPal,Completed
,2020-01-03,C373,Headphones,-9.0,-316.7248890009349,pay pal,complete
,2020-01-03,C164,Laptop,-10.0,$-890.53,credit card,Pending
T29177,2020-01-03,C4250,Laptop,-8.0,,Cash,Failed
T40131,2020-01-03,C3485,Tablet,-3.0,,Credit Card,complete
T74115,2020-01-03,C4435,Laptop,-10.0,$-135.23,credit card,completed
T57031,2020-01-03,C4606,Tablet,6.0,,pay pal,
T57085,2020-01-03,C4969,Headphones,-10.0,-760.6153907181181,PayPal,complete
T1333,2020-01-03,C4647,Tablet,8.0,-150.23870023433687,credit card,completed
T53030,2020-01-04,C4312,Smartphone,-7.0,-912.2078561258633,Credit Card,complete
T62952,2020-01-04,C720,Headphones,149.0,891.7517276758555,Credit Card,Completed
T92712,2020-01-04,C1334,Smartphone,-3.0,$-915.99,Cash,complete
T1860,2020-01-04,C3853,Smartphone,-9.0,,PayPal ,
T4947,2020-01-04,C3229,Coffee Machine,-8.0,242.66176396498685,Cash,Failed
T52209,2020-01-04,C841,Laptop,2.0,-645.8557871863584,Credit Card,Failed
T24598,2020-01-04,C195,Headphones,454.0,-526.7921426366593,pay pal,
,2020-01-04,C2465,Smartphone,-4.0,278.23223709623244,Cash,Completed
T81382,2020-01-04,C2312,Coffee Machine,-8.0,,creditcard,Completed
T24601,2020-01-04,C2008,Smartphone,9.0,992.1885506514027,credit card,Pending
T61388,2020-01-04,C2081,Coffee Machine,9.0,733.0677348794511,Credit Card,completed
T28722,2020-01-04,C005,Headphones,-10.0,214.4642428604384,credit card,Pending
T86773,2020-01-04,C3813,Coffee Machine,,,Credit Card,Failed
T70698,2020-01-04,C3316,Headphones,5.0,,credit card,completed
T66896,2020-01-05,C4993,Headphones,270.0,939.2185839197633,Cash,Failed
T94409,2020-01-05,C2998,Coffee Machine,10.0,,credit card,Pending
,2020-01-05,C013,Coffee Machine,,-120.18871049149391,credit card,Pending
T16481,2020-01-05,C3189,Tablet,1.0,-117.42965197984267,Credit Card,Pending
T29333,2020-01-05,C2555,Smartphone,870.0,597.762962517543,PayPal ,Completed
T17964,2020-01-05,C4675,Laptop,111.0,,pay pal,Failed
T98841,2020-01-05,C3442,Tablet,593.0,-263.4369601399312,Cash,complete
T89918,2020-01-05,C405,Tablet,8.0,847.2497302150516,Cash,Completed
T98747,2020-01-05,C2992,Headphones,-6.0,,PayPal,
T20055,2020-01-05,C4774,Headphones,1.0,,Credit Card,Completed
T47846,2020-01-05,C195,Laptop,10.0,,creditcard,Completed
T6654,2020-01-05,C2151,Headphones,-7.0,,credit card,Completed
T21500,2020-01-05,C168,Smartphone,-7.0,-513.4427681425177,pay pal,
T38062,2020-01-05,C2820,Coffee Machine,-6.0,,Credit Card,Pending
T37105,2020-01-05,C1559,Headphones,802.0,,Credit Card,
T91169,2020-01-05,C170,Smartphone,-9.0,,Cash,Pending
T68410,2020-01-05,C2790,Tablet,-4.0,,creditcard,Pending
T97133,2020-01-05,C917,Laptop,,713.0551423214483,pay pal,
T91910,2020-01-05,C188,Laptop,4.0,611.2141872840668,creditcard,Failed
T69883,2020-01-05,C3874,Smartphone,870.0,,PayPal,completed
T10772,2020-01-05,C3103,Smartphone,3.0,879.6057750301192,PayPal,Completed
T83098,2020-01-06,C3588,Tab,616.0,,Credit Card,completed
T77805,2020-01-06,C2876,Headphones,-8.0,,pay pal,Completed
T46447,2020-01-06,C1392,Laptop,3.0,249.0993090250161,Cash,Failed
T75811,2020-01-06,C2880,Headphones,,,Cash,Completed
T49546,2020-01-06,C4188,Smartphone,304.0,-991.4149391182787,credit card,completed
T15109,2020-01-06,C3865,Smartphone,9.0,-369.94469862020014,Cash,Failed
T64953,2020-01-06,C483,Coffee Machine,-6.0,-582.1040656836719,Credit Card,Completed
,2020-01-06,C4682,Headphones,-9.0,312.1291005257706,creditcard,
T73800,2020-01-06,C3791,Laptop,-6.0,-932.795591189683,PayPal,complete
T13194,2020-01-06,C2107,Laptop,-3.0,,pay pal,
T38006,2020-01-06,C4930,Tablet,4.0,,PayPal,Failed
T43424,2020-01-06,C2617,Headphones,553.0,-603.8441991182681,PayPal ,Completed
T55676,2020-01-06,C1787,He,-10.0,477.4561227180886,PayPal,Completed
T75837,2020-01-07,C4181,Headphones,9.0,$-530.25,credit card,Completed
T37732,2020-01-07,C4877,Tablet,1.0,,PayPal,completed
,2020-01-07,C920,Cof,-4.0,,Cash,
T27731,2020-01-07,C1470,Smartphone,-10.0,,PayPal,complete
T29024,2020-01-07,C2350,Coffee Machine,707.0,,creditcard,Failed
T63088,2020-01-07,C4407,Ta,456.0,591.3895296248147,Credit Card,Completed
T38736,2020-01-07,C1374,Tablet,-7.0,$737.30,PayPal,Pending
,2020-01-07,C2499,Table,887.0,,pay pal,completed
T46845,2020-01-07,C2028,Laptop,-1.0,,pay pal,Failed
T35761,2020-01-07,C4640,Headphones,395.0,,Credit Card,
T75860,2020-01-07,C1171,Headphones,-2.0,83.58947050048718,pay pal,completed
T4632,2020-01-07,C2058,Smartphone,474.0,-575.1284013603304,Cash,Pending
T71079,2020-01-07,C1976,Headphones,,,PayPal,Pending
T21697,2020-01-07,,Smartphone,-7.0,348.89010309825983,pay pal,complete
T82327,2020-01-07,C3719,Smartphone,297.0,462.76739181908766,credit card,Pending
T55566,2020-01-07,C367,Headphones,-6.0,106.6236951236385,Cash,completed
,2020-01-07,C1059,Smartphone,-6.0,692.4702140800058,pay pal,Failed
T99450,2020-01-07,C2743,Tablet,6.0,$-838.16,Credit Card,complete
T81644,2020-01-07,,Laptop,-3.0,,Credit Card,Pending
T62610,2020-01-07,C1588,Tablet,970.0,-869.3767107959336,creditcard,Pending
T10339,2020-01-08,C1332,Coffee Machine,9.0,,Credit Card,completed
T10830,2020-01-08,C2713,Laptop,3.0,,Credit Card,Failed
T96482,2020-01-08,C2018,Headphones,789.0,215.70261996878426,PayPal,complete
T62244,2020-01-08,C2776,Smartphone,794.0,817.2368665745495,Credit Card,Completed
T43374,2020-01-08,C2792,Tablet,766.0,78.22737863964747,PayPal,Failed
T47954,2020-01-08,C551,Headphones,2.0,662.6467852385164,PayPal,completed
T81016,2020-01-08,C2016,Headphones,5.0,227.41785365341772,pay pal,Completed
T27388,2020-01-08,C2649,Smartphone,562.0,,PayPal ,Pending
T90737,2020-01-08,C2095,Headphones,-9.0,-178.52419531753424,credit card,complete
T41989,2020-01-08,C2864,Tablet,1.0,92.32546609654034,credit card,complete
T87701,2020-01-08,,Coffee Machine,-7.0,-708.5341419707564,credit card,complete
T97558,2020-01-08,C079,Headphones,925.0,,PayPal,complete
T48232,2020-01-08,C035,Laptop,414.0,,Credit Card,
T81583,2020-01-08,C3594,Headphones,389.0,947.9060681552673,pay pal,
T43092,2020-01-08,C2705,Headphones,9.0,,pay pal,Failed
T49641,2020-01-08,C467,Smartphone,-5.0,373.75104591189364,credit card,Completed
T73502,2020-01-08,C3496,Coffee Machine,247.0,-983.3681026643736,pay pal,complete
T79713,2020-01-08,C4325,Coffee Machine,4.0,-442.7359040959641,Cash,complete
T90737,2020-01-08,C2095,Headphones,-9.0,-178.52419531753424,credit card,complete
T19349,2020-01-09,C1715,Headphones,-8.0,,PayPal ,completed
T62334,2020-01-09,C4098,Tablet,-8.0,710.5578708737913,Cash,Failed
T21739,2020-01-09,C4698,Coffee Machine,-1.0,,PayPal ,Failed
T51788,2020-01-09,C2038,Tablet,,,PayPal,complete
T21400,2020-01-09,C3495,Laptop,-4.0,-818.2863014478353,Cash,complete
T0521,2020-01-09,C745,Coffee Machine,-10.0,-145.8264235816955,pay pal,
T88270,2020-01-09,C3675,Smartphone,178.0,,Credit Card,completed
T76097,2020-01-09,C2579,Tablet,1.0,$189.88,pay pal,Failed
T91005,2020-01-09,C2970,Headphones,-8.0,-150.63746373291076,creditcard,Completed
T36725,2020-01-09,C2950,Tablet,2.0,,PayPal,completed
T1634,2020-01-09,C3622,Tablet,750.0,244.97059103409296,credit card,
T53355,2020-01-09,C4429,Tablet,127.0,-509.635940650133,PayPal ,Failed
T79634,2020-01-09,C1597,Headphones,928.0,,Credit Card,
T54066,2020-01-09,C876,Tablet,9.0,-595.7565661198387,Credit Card,
T79905,2020-01-09,C2093,Smartphone,394.0,$-903.35,PayPal,Pending
T75806,2020-01-09,C3778,Laptop,-5.0,,PayPal,
T53869,2020-01-09,C4409,Tablet,10.0,355.0047849132103,Cash,complete
T19349,2020-01-09,C1715,Headphones,-8.0,,PayPal ,completed
T9978,2020-01-09,C4794,Tablet,521.0,-582.843077744804,credit card,completed
